公示id 状态 投票
b0fc56dc 1 23:3:6:1:19:11:10:2:25:27:103
67a6c606 1 4:13
27ff583a 0 11
4dd16b7f 1 11
658d43ef 1 9:11:25:102
0f0944b8 1 5:103
455e02f9 1 11:25
c991900e 1 2:3:6:5:23:19:10:13:25:21:103
23254282 0 11
98145b7d 0 11
f3e544ec 0 15:4:19:10:17:25:5:9:11:2:7:23:27:6:102
48b19234 1 15:4:19:10:17:25:5:9:11:2:7:23:27:6:102
fee5c137 1 8:25:15:10:102
2348c95c 0 5
8330ac6c 0 7:9:25:5:23:11:27:2:102
4a9bfc90 0 7:9:25:5:23:11:27:2:102
78349313 1 7:9:25:5:23:11:27:2:102
62b53cf1 1 25:3:27:2:11:103
7a4316ea 1 3:17:7:6:10:2:11:8:25:23:15:27:1:5:21:103
0edaa6c8 1 15:9:27:25:4:13:8:17:103
37391bc9 1 5:27:23:19:13:9:2:17:4:1:25:11:15:3:10:103
a0398979 1 21:102
7d8d3598 1 3:21:27:6:23:102
9f818be6 1 23:5:21:4:6:9:1:27:10:13:25:2:17:15:19:103
cfd6be0c 0 6:8:27:23:103
158ca1ba 0 6
d02c3640 0 6
75f7dfdd 0 23:10:6:11:25:103
9432968b 1 23:19:6:5:21:3:13:8:11:7:25:17:2:103
d8359604 1 9:11:103
0f508e05 1 19:27:10:9:103
bad86906 1 19:10:15:25:103
c41ad4e4 1 8:9:10:19:15:25:103
cc7acc38 1 5:25:3:2:11:13:21:10:9:15:6:23:17:1:4:102
96cd261e 1 23:102
691ba3bf 1 17:11:2:23:4:25:8:6:7:13:19:21:15:103
1e65c1e7 1 13:23:15:4:10:25:8:11:9:5:21:6:3:7:19:103
2076fca5 0 2:23:11:3:8:5:21:6:10:19:9:15:25:17:27:102
b540ecc1 1 2:23:11:3:8:5:21:6:10:19:9:15:25:17:27:102
f4a94a0d 1 3:10:19:25:5:27:23:103
7b81eb21 1 25:8:10:11:9:5:17:6:23:103
b30244d6 1 10:27:7:8:4:15:1:19:23:21:25:3:2:17:9:102
1513b4cc 1 6
36da16b7 1 10:102
673dec5c 1 25:21:19:6:3:23:11:15:10:1:5:17:13:2:27:102
fd83bea8 1 27:102
be72c435 1 13:10:17:7:25:6:4:23:11:8:15:3:2:19:5:102
657f512b 0 10:7:25:1:21:8:6:15:11:5:3:17:19:23:27:103
e6f40ed1 1 10:7:25:1:21:8:6:15:11:5:3:17:19:23:27:103
c780e31c 1 13:25:8:9:19:17:7:3:23:11:5:10:6:4:15:102
ffb77739 1 3:23:6:25:9:11:8:17:10:15:5:4:13:19:7:102
e9770dfc 0 1:7:10:23:11:9:103
b037c3e0 0 1:5:3:19:2:102
900ae383 0 1:9:103
9cd36c95 1 23:2:6:7:19:13:17:25:1:15:3:21:27:9:102
6e7e2335 0 11:27
55434fa9 0 1:102
4993099e 0 1:102
a0012849 1 10:15:13:21:7:8:27:19:23:9:11:17:2:5:25:103
0f854150 1 2:5:21:3:13:10:1:11:8:19:17:4:9:6:23:103
62a87704 1 25:15:11:10:102
074e47f7 0 25:11
72b0dd67 1 19:11:3:13:7:21:17:6:9:5:10:23:25:8:1:102
b066a10e 0 7:9:17:23:27:25:19:102
4ceac9a3 0 7:9:17:23:27:25:19:102
13153872 1 17:3:7:27:23:25:9:19:103
06d7e45a 1 25:6:8:9:15:17:10:23:11:2:7:21:5:3:103
be9748e7 1 27:25:9:102
88ace47a 0 27:102
b2fef3ac 0 23:17:8:21:10:27:25:19:103
5ef6d5e5 1 23:17:8:21:10:27:25:19:103
59fbf252 1 23:3:9:5:7:25:19:103
0ac04042 0 11:15:23:1:27:17:102
5891d073 1 17:10:8:9:5:27:23:19:3:21:11:25:7:2:103
b27fb66c 1 19:27:25:23:103
d4f3c401 1 15:10:5:1:19:11:23:103
d38aebfb 1 4:10:5:8:13:27:103
675362aa 0 6
d25e0fd1 0 13:4:25:19:8:27:10:103
8f192bc5 1 11:23:10:6:15:9:19:103
bbff4e09 1 10:23:3:11:8:17:19:102
ef1c0538 1 27:17:3:10:103
2d31d5c0 0 9:10
2adaec53 0 9:10:11
80eecbae 1 27:102
71bf8996 1 10:9:11:102
bde822af 1 6:5:25:19:23
62fb1071 0 6:2:102
bafa17b7 0 6:2:102
138ba212 1 6:2:102
9a3c0287 0 9:25
01d43ebf 1 9:25:103
4429ec2a 1 4:13
cd42a56e 0 13:4
84333491 0 11:5:9:27:23:25:10:103
caf35aec 1 11:5:9:27:23:25:10:103
f75777fc 0 4:3:6:103
f999c066 0 4:3:6:103
2bbf5d75 1 6:3:4:103
b4ca9a40 0 25:3:27:19:102
8d465cb4 0 25:27:103
460e2a50 1 25:27:103
7b662b89 0 3:25:11:102
122435b4 1 3:25:11:102
ed4f67c8 1 15:25:6:17:23:4:9:8:11:27:5:10:2:19:102
1d7f11dd 1 4:15:10:25:9:5:23:21:19:7:13:17:6:3:11:102
affb6b19 1 5:15:6:11:25:8:19:27:9:103
73c4f5ed 0 25
49ddbde4 1 10:9:103
b269ed97 1 19:25:27:3:5:13:1:8:6:11:4:21:23:2:7:102
edcd303c 0 15:25:23:102
95cd748e 0 5
6878c183 0 27:102
cdb197b1 1 19:3:27:2:10:15:11:5:21:4:13:25:6:23:8:102
a335d5a9 1 8:103
e0c2703d 0 7:6:15:5:27:4:25:19:102
28a4b937 0 3:21:27:7:15:103
a454615e 0 3:21:27:7:15:103
527190bf 1 25:6:27:5:23:15:103
56da7bfd 0 11:8:27:3:5:21:7:17:25:6:15:2:4:19:9:102
bb976298 1 11:8:27:3:5:21:7:17:25:6:15:2:4:19:9:102
1ae6fc72 1 11:9:7:5:6:10:8:2:23:15:25:3:1:4:21:103
a07b1b76 1 23:11:25:7:3:4:6:15:13:2:21:10:103
352908a1 1 2:27:7:17:13:3:4:11:102
c10bee27 0 23:11:1:27:3:6:5:25:2:13:15:103
02899b72 1 23:11:1:27:3:6:5:25:2:13:15:103
f4d08cee 1 5:6:8:9:19:23:4:25:10:11:103
58ba144f 1 10:11:8:19:4:25:9:6:23:5:103
edb0d904 1 27:25:2:8:23:17:4:13:15:6:19:11:10:7:21:102
c743b4d8 1 19:11:10:25:23:7:6:102
47da5b93 1 25:21:11:103
fab9dd5a 1 9:27:19:10:25:23:8:2:103
0f2eaeca 0 3:15:10:17:8:7:19:5:13:4:6:11:27:23:25:102
51f90418 0 11:3:5:8:17:4:10:6:27:7:25:23:19:15:13:102
0384903d 0 11:3:5:8:17:4:10:6:27:7:25:23:19:15:13:102
ec3d9c82 0 8:23:19:10:15:5:27:13:3:17:11:6:4:7:25:102
ea7eeada 0 23:19:3:4:2:25:11:10:6:15:27:102
f6f46ef5 0 6:19:3:17:27:23:25:10:4:11:102
97de0aab 1 27:19:7:2:21:23:102
9a9acf77 1 25:11:10:6:4:19:8:5:13:15:7:9:103
8fccb55f 0 27
5d79f23f 0 27
6f920e9b 1 6:27:10:23:5:1:102
698f9f3b 0 9:19:27:7:25:10:15:103
0523aa87 0 8:6:10:2:11:19:27:4:17:15:3:25:21:23:102
3f38ba8e 0 8:6:10:2:11:19:27:4:17:15:3:25:21:23:102
0cfd2fca 0 10:19:15:25:3:23:102
b0077526 0 10:19:15:25:3:23:102
71c34be1 0 4:13
244eb7d5 0 6:23:15:11:19:5:3:10:4:2:25:27:102
f41f968b 0 19:27:10:17:23:6:25:15:11:102
056e8617 1 19:25:13
56d5f915 1 27:11:25:7:3:10:6:19:13:15:23:17:5:8:4:102
1ee6cfa7 0 7
ab085297 0 7
5591c579 1 8:25:3:27:10:9:2:4:1:103
0ecd95f7 0 8:10:103
55c773f5 1 10:25:7:11:27
fd4eddf7 0 10:25:5:17:103
76bc9121 0 3:103
6adb7387 1 25:17:10:5:103
be4ab5b1 0 9:19:27:103
722a6da2 1 19:17:23:8:21:10:6:11:25:3:103
f49a4eea 1 4:27:13:103
662a21f6 0 19:23:102
2f6cac5c 1 19:23:102
c606c61a 1 5:11:6:17:15:10:23:27:103
64895903 0 10:23:27:11:6:103
7ab2efe0 1 9:25:19:103
819517e5 0 5
630b6010 1 6:19:3:25:11:27:7:23:102
ab9833af 1 2:15:13:4:17:7:11:5:19:21:10:1:6:3:25:102
ef2eaf6d 1 27
9860a45c 1 4:7:25:9:21:10:23:27:17:11:8:6:1:15:5:103
377bf830 1 13:19:27:4:23:102
0813b633 0 4:27:13
847bc75e 0 4:27:13
b08c6a51 1 2:103
2a38d350 0 27:21:7:3:15:103
28e663e6 1 27:7:15:21:25:3
668263ae 0 27:21:7:3:15:103
c0dc3e91 1 27:21:7:3:15:103
c6fa8fdf 1 23:27:102
1e60af4a 0 2:27
105a43a0 1 6:8:4:15:7:25:5:9:2:11:23:19:3:102
6f498c79 1 2:27
01b09016 1 27:19:5:23:103
94e6d54d 1 19:9:10:25:15:103
c08ce109 0 25:103
b7d1b4a0 0 25:103
f1682f98 1 25:103
77a7faf6 0 10:27
dab6173c 0 10:27:103
45984866 1 27:10:103
718f2b58 1 7:15:9:17:10:103
96d125e3 1 25:11:10:19:23:6
b23985e4 1 27:6:4:10:25:5:13
db8ca8fe 1 19:102
0d55dcdf 1 10:25:103
5751caa8 1 25:11:103
17f67e7c 1 1:3:21:103
4aa2db07 1 2:13:4:25:103
15caef9d 0 7:1:21:25:103
231bfe5c 0 7:1:21:25:103
fcdcb559 1 25:102
29852974 1 5:6:9:23:1:3:17:25:11:10:2:19:27:15:103
211c81bc 1 27:103
01740bfe 1 15:25:19:3:9:11:23:6:17:10:102
f083c48a 1 27:103
81a0671b 1 15:25:11:17:27:10:103
aaba76cd 1 3
2b8fec83 1 27:10:23:25:102
22f9573a 1 9:15:102
bf46571a 1 27:23
dd48fc41 1 6:25:9:15:27:21:2:7:19:10:3:23:17:1:5:102
71c3a771 0 23:1:27
1fa48cee 0 21:7:3
e6ee0b81 1 3:21:7
eb264343 0 5:25:27:103
f3d43a23 1 5:27:25:103
d06956ee 0 10:15:19:11:23:103
cb68ecee 1 21:7:3:103
630c2236 1 11:7:19:10:9:23:25:21:17:103
f7f003ba 1 23
1ee8428f 1 13:23:19:7:21:17:1:8:3:27:25:103
